dataset,condition,model_tier,model_name,qid,db_id,n_gold_tables,n_gold_cols,n_join_gold,exec_match,valid_sql,table_recall,table_precision,col_recall_strict,col_precision_strict,col_recall_relaxed,col_precision_relaxed,context_tokens_est,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,cached,pred_sql,pred_error
D1,C1,STRONG,gpt-5.4,spider_validation_00000,concert_singer,1,0,0,1.0,1,1.0,0.25,,,,,340,553,9,562,0.0014725,0.0,1,SELECT COUNT(*) FROM singer;,
D1,C1,STRONG,gpt-5.4,spider_validation_00001,concert_singer,1,0,0,1.0,1,1.0,0.25,,,,,340,554,16,570,0.001545,0.0,1,"SELECT COUNT(*) AS total_number_of_singers
FROM singer;",
D1,C1,STRONG,gpt-5.4,spider_validation_00002,concert_singer,1,4,0,1.0,1,1.0,0.25,0.75,0.14285714285714285,1.0,0.17647058823529413,340,565,18,583,0.0015925,0.0,1,"SELECT Name, Country, Age
FROM singer
ORDER BY Age DESC;",
D1,C1,STRONG,gpt-5.4,spider_validation_00003,concert_singer,1,4,0,1.0,1,1.0,0.25,0.75,0.14285714285714285,1.0,0.17647058823529413,340,564,18,582,0.0015900000000000003,0.0,1,"SELECT Name, Country, Age
FROM singer
ORDER BY Age DESC;",
D1,C1,STRONG,gpt-5.4,spider_validation_00004,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,562,37,599,0.001775,0.0,1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age
FROM singer
WHERE Country = 'France';",
D1,C1,STRONG,gpt-5.4,spider_validation_00005,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,561,37,598,0.0017724999999999998,0.0,1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age
FROM singer
WHERE Country = 'France';",
D1,C1,STRONG,gpt-5.4,spider_validation_00006,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,561,26,587,0.0016625,0.0,1,"SELECT Song_Name, Song_release_year
FROM singer
WHERE Age = (SELECT MIN(Age) FROM singer);",
D1,C1,STRONG,gpt-5.4,spider_validation_00007,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,562,26,588,0.001665,0.0,1,"SELECT Song_Name, Song_release_year
FROM singer
WHERE Age = (SELECT MIN(Age) FROM singer);",
D1,C1,STRONG,gpt-5.4,spider_validation_00008,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,560,16,576,0.0015599999999999998,0.0,1,"SELECT DISTINCT Country
FROM singer
WHERE Age > 20;",
D1,C1,STRONG,gpt-5.4,spider_validation_00009,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,559,16,575,0.0015575,0.0,1,"SELECT DISTINCT Country
FROM singer
WHERE Age > 20;",
D1,C1,STRONG,gpt-5.4,spider_validation_00010,concert_singer,1,1,0,1.0,1,1.0,0.25,1.0,0.047619047619047616,1.0,0.058823529411764705,340,558,19,577,0.001585,0.0,1,"SELECT Country, COUNT(*) AS singer_count
FROM singer
GROUP BY Country;",
D1,C1,STRONG,gpt-5.4,spider_validation_00011,concert_singer,1,1,0,1.0,1,1.0,0.25,1.0,0.047619047619047616,1.0,0.058823529411764705,340,554,19,573,0.001575,0.0,1,"SELECT Country, COUNT(*) AS singer_count
FROM singer
GROUP BY Country;",
D1,C1,STRONG,gpt-5.4,spider_validation_00012,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,557,22,579,0.0016125,0.0,1,"SELECT Song_Name
FROM singer
WHERE Age > (SELECT AVG(Age) FROM singer);",
D1,C1,STRONG,gpt-5.4,spider_validation_00013,concert_singer,1,2,0,1.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,560,22,582,0.0016199999999999997,0.0,1,"SELECT Song_Name
FROM singer
WHERE Age > (SELECT AVG(Age) FROM singer);",
D1,C1,STRONG,gpt-5.4,spider_validation_00014,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,566,22,588,0.001635,0.0,1,"SELECT Location, Name
FROM stadium
WHERE Capacity BETWEEN 5000 AND 10000;",
D1,C1,STRONG,gpt-5.4,spider_validation_00015,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,566,22,588,0.001635,0.0,1,"SELECT Location, Name
FROM stadium
WHERE Capacity BETWEEN 5000 AND 10000;",
D1,C1,STRONG,gpt-5.4,spider_validation_00016,concert_singer,1,2,0,0.0,1,1.0,0.25,1.0,0.09523809523809523,1.0,0.11764705882352941,340,559,25,584,0.0016475,0.0,1,"SELECT MAX(Capacity) AS max_capacity, AVG(Capacity) AS avg_capacity
FROM stadium;",
D1,C1,STRONG,gpt-5.4,spider_validation_00017,concert_singer,1,1,0,1.0,1,1.0,0.25,1.0,0.047619047619047616,1.0,0.058823529411764705,340,558,25,583,0.001645,0.0,1,"SELECT AVG(Capacity) AS average_capacity, MAX(Capacity) AS maximum_capacity
FROM stadium;",
D1,C1,STRONG,gpt-5.4,spider_validation_00018,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,560,20,580,0.0015999999999999999,0.0,1,"SELECT Name, Capacity
FROM stadium
ORDER BY Average DESC
LIMIT 1;",
D1,C1,STRONG,gpt-5.4,spider_validation_00019,concert_singer,1,3,0,1.0,1,1.0,0.25,1.0,0.14285714285714285,1.0,0.17647058823529413,340,561,20,581,0.0016025,0.0,1,"SELECT Name, Capacity
FROM stadium
ORDER BY Average DESC
LIMIT 1;",
D1,C1,STRONG,gpt-5.4,spider_validation_00020,concert_singer,1,1,0,1.0,1,1.0,0.25,1.0,0.047619047619047616,1.0,0.058823529411764705,340,561,19,580,0.0015925,0.0,1,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015');",
D1,C1,STRONG,gpt-5.4,spider_validation_00021,concert_singer,1,1,0,1.0,1,1.0,0.25,1.0,0.047619047619047616,1.0,0.058823529411764705,340,559,19,578,0.0015875000000000002,0.0,1,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015');",
D1,C1,STRONG,gpt-5.4,spider_validation_00022,concert_singer,2,3,1,0.0,1,1.0,0.5,1.0,0.14285714285714285,1.0,0.11764705882352941,340,559,53,612,0.0019275,0.0,1,"SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts
FROM stadium AS s
LEFT JOIN concert AS c
  ON s.Stadium_ID = c.Stadium_ID
GROUP BY s.Stadium_ID, s.Name;",
D1,C1,STRONG,gpt-5.4,spider_validation_00023,concert_singer,2,3,1,0.0,1,1.0,0.5,1.0,0.14285714285714285,1.0,0.11764705882352941,340,556,57,613,0.00196,0.0,1,"SELECT s.Stadium_ID,
       s.Name,
       COUNT(c.concert_ID) AS concert_count
FROM stadium AS s
LEFT JOIN concert AS c
  ON s.Stadium_ID = c.Stadium_ID
GROUP BY s.Stadium_ID, s.Name;",
